x,y
73.68709955676114,107.55097493286036
62.76199648711771,105.69241624757348
50.95082995402653,103.73573167928171
44.405417652564324,122.3403384072048
41.48004644829738,128.97090856739757
54.08433984340456,141.5811612452712
50.337564843266556,169.95198642134372
34.11907922824191,182.98755110792754
16.111145389473833,193.20159954363027
15.2083944008449,195.08603936185807
29.082105735325516,201.72337715138676
49.14309177964181,214.95636980233124
42.88427687243874,228.2258222088541
30.55838583744202,237.57251850826896
16.788048075969474,233.48118595500307
12.223395120108536,228.03314542603874
12.383386076427993,220.40309627891006
10.818952455684876,214.99992773583105
-2.1042838082550848,209.42741080965467
-22.568573305922975,201.74436443529385
-27.316705085557732,191.35355755851054
-27.709177728408037,179.34636450863744
-25.87697058890989,169.82405136317766
-23.91056233062383,164.468345565019
-18.033617296777354,160.8933216647883
-6.956434963964233,160.5324670907453
4.161438885517156,163.50862013342356
8.34320753777846,152.18000498073326
13.201881842878853,137.9790722888423
12.121783262581499,116.94039224325815
14.346907626547699,104.0476452188224
21.639778317283774,91.99778893363109
35.366777828135696,96.78614262014946
46.8229000655819,88.29774413692152
50.61440494152544,77.046935512066
80.34107560001459,86.66240926928737
108.10131440968254,98.39815322460291
128.90399101642944,106.09755610955168
145.83037401881208,112.3613347852613
140.1698766221939,130.05787146888895
134.65046065581802,136.89641446819135
126.33794353663492,140.19202327853995
94.20065200626591,129.72396971952872
88.38050310201895,124.48642629448435
83.26818180909815,115.23551334129144
73.68709955676114,107.55097493286036
